Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,74.95,-34.2,0,bottom
C2,22uF,C_0805_2012Metric,78.15,-36.9,90,bottom
C3,30pF,C_0402_1005Metric,82.92,-53.3,0,bottom
C4,30pF,C_0402_1005Metric,80.32,-53.3,180,bottom
C5,10uF,C_0805_2012Metric,73.95,-41.95,-90,bottom
C6,100nF,C_0402_1005Metric,75.5,-42.42,-90,bottom
C7,100nF,C_0402_1005Metric,84.42,-39.5,180,bottom
C8,100nF,C_0402_1005Metric,85.72,-49.9,0,bottom
C9,100nF,C_0402_1005Metric,87.4,-48.42,90,bottom
C10,10nF,C_0402_1005Metric,80.32,-52,0,bottom
C11,1uF,C_0402_1005Metric,75.575,-51.53,90,bottom
C12,1uF,C_0402_1005Metric,75.575,-54.07,-90,bottom
C13,100nF,C_0402_1005Metric,91.55,-40.57,90,bottom
C14,100nF,C_0402_1005Metric,66.775,-45.1,-90,bottom
C15,100nF,C_0402_1005Metric,68.475,-47.255,-90,bottom
D1,D_Small,D_SOD-123,70,-42,90,bottom
D2,D_Small,D_SOD-123,108.25,-42.4,90,bottom
D3,D_Small,D_SOD-123,127.25,-42.35,90,bottom
D4,D_Small,D_SOD-123,146.25,-42.6,90,bottom
D5,D_Small,D_SOD-123,165.25,-42.5,90,bottom
D6,D_Small,D_SOD-123,194,-42.75,90,bottom
D7,D_Small,D_SOD-123,213,-42.85,90,bottom
D8,D_Small,D_SOD-123,232,-42.75,90,bottom
D9,D_Small,D_SOD-123,251,-42.6,90,bottom
D10,D_Small,D_SOD-123,279.75,-42.75,90,bottom
D11,D_Small,D_SOD-123,298.75,-42.5,90,bottom
D12,D_Small,D_SOD-123,317.75,-42.75,90,bottom
D13,D_Small,D_SOD-123,336.75,-42.5,90,bottom
D14,D_Small,D_SOD-123,360.5,-42.5,90,bottom
D15,D_Small,D_SOD-123,379.75,-42.5,90,bottom
D16,D_Small,D_SOD-123,396.45,-42.65,90,bottom
D17,D_Small,D_SOD-123,46.25,-71.15,90,bottom
D18,D_Small,D_SOD-123,70,-71.25,90,bottom
D19,D_Small,D_SOD-123,89,-71.25,90,bottom
D20,D_Small,D_SOD-123,108.25,-71.15,90,bottom
D21,D_Small,D_SOD-123,127.25,-71.15,90,bottom
D22,D_Small,D_SOD-123,146,-71.35,90,bottom
D23,D_Small,D_SOD-123,165.5,-71.1,90,bottom
D24,D_Small,D_SOD-123,184.5,-71.15,90,bottom
D25,D_Small,D_SOD-123,203.5,-71.15,90,bottom
D26,D_Small,D_SOD-123,222.5,-71.25,90,bottom
D27,D_Small,D_SOD-123,241.5,-71.15,90,bottom
D28,D_Small,D_SOD-123,260.5,-71.35,90,bottom
D29,D_Small,D_SOD-123,279.75,-71.15,90,bottom
D30,D_Small,D_SOD-123,298.75,-71.15,90,bottom
D31,D_Small,D_SOD-123,327.25,-71.35,90,bottom
D32,D_Small,D_SOD-123,360.5,-71.25,90,bottom
D33,D_Small,D_SOD-123,379.75,-71.15,90,bottom
D34,D_Small,D_SOD-123,396.45,-71.25,90,bottom
D35,D_Small,D_SOD-123,46.25,-90.25,90,bottom
D36,D_Small,D_SOD-123,74.75,-90.35,90,bottom
D37,D_Small,D_SOD-123,98.75,-90.25,90,bottom
D38,D_Small,D_SOD-123,117.75,-90.35,90,bottom
D39,D_Small,D_SOD-123,136.75,-90.25,90,bottom
D40,D_Small,D_SOD-123,155.75,-90.35,90,bottom
D41,D_Small,D_SOD-123,174.75,-90.35,90,bottom
D42,D_Small,D_SOD-123,193.75,-90.4,90,bottom
D43,D_Small,D_SOD-123,213,-90.25,90,bottom
D44,D_Small,D_SOD-123,232,-90.25,90,bottom
D45,D_Small,D_SOD-123,251,-90.25,90,bottom
D46,D_Small,D_SOD-123,270,-90.25,90,bottom
D47,D_Small,D_SOD-123,289.25,-90.35,90,bottom
D48,D_Small,D_SOD-123,308.25,-90.15,90,bottom
D49,D_Small,D_SOD-123,332,-90.15,90,bottom
D50,D_Small,D_SOD-123,360.5,-90.4,90,bottom
D51,D_Small,D_SOD-123,379.5,-90.25,90,bottom
D52,D_Small,D_SOD-123,396.4,-147.45,90,bottom
D53,D_Small,D_SOD-123,46.25,-109.25,90,bottom
D54,D_Small,D_SOD-123,77.25,-109.25,90,bottom
D55,D_Small,D_SOD-123,103.5,-109.25,90,bottom
D56,D_Small,D_SOD-123,122.5,-109.35,90,bottom
D57,D_Small,D_SOD-123,141.5,-109.4,90,bottom
D58,D_Small,D_SOD-123,160.5,-109.35,90,bottom
D59,D_Small,D_SOD-123,179.75,-109.35,90,bottom
D60,D_Small,D_SOD-123,198.75,-109.4,90,bottom
D61,D_Small,D_SOD-123,217.75,-109.25,90,bottom
D62,D_Small,D_SOD-123,236.75,-109.4,90,bottom
D63,D_Small,D_SOD-123,255.75,-109.35,90,bottom
D64,D_Small,D_SOD-123,275,-109.5,90,bottom
D65,D_Small,D_SOD-123,294,-109.4,90,bottom
D66,D_Small,D_SOD-123,324.5,-109.25,90,bottom
D67,D_Small,D_SOD-123,395.8,-89.3,90,bottom
D68,D_Small,D_SOD-123,46.25,-128.5,90,bottom
D69,D_Small,D_SOD-123,81.5,-128.5,90,bottom
D70,D_Small,D_SOD-123,112.75,-128.5,90,bottom
D71,D_Small,D_SOD-123,132,-128.5,90,bottom
D72,D_Small,D_SOD-123,151.25,-128.5,90,bottom
D73,D_Small,D_SOD-123,170.25,-128.4,90,bottom
D74,D_Small,D_SOD-123,189,-128.4,90,bottom
D75,D_Small,D_SOD-123,208,-128.25,90,bottom
D76,D_Small,D_SOD-123,227.25,-128.5,90,bottom
D77,D_Small,D_SOD-123,246.25,-128.25,90,bottom
D78,D_Small,D_SOD-123,265.25,-128.4,90,bottom
D79,D_Small,D_SOD-123,284.5,-128.4,90,bottom
D80,D_Small,D_SOD-123,319.75,-128.15,90,bottom
D81,D_Small,D_SOD-123,334.25,-147.5,90,bottom
