Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
J2,Conn_01x05_Male,PinHeader_1x05_P2.54mm_Vertical,89.6,-30.9,0,top
MX1,MX_SW_HS,MXOnly-1U-Hotswap,61.705,-37.925,0,top
MX2,MX_SW_HS,MXOnly-1U-Hotswap,99.81,-37.93,0,top
MX3,MX_SW_HS,MXOnly-1U-Hotswap,118.83,-37.95,0,top
MX4,MX_SW_HS,MXOnly-1U-Hotswap,137.91,-37.965,0,top
MX5,MX_SW_HS,MXOnly-1U-Hotswap,156.955,-37.94,0,top
MX6,MX_SW_HS,MXOnly-1U-Hotswap,185.53,-37.925,0,top
MX7,MX_SW_HS,MXOnly-1U-Hotswap,204.58,-37.94,0,top
MX8,MX_SW_HS,MXOnly-1U-Hotswap,223.635,-37.94,0,top
MX9,MX_SW_HS,MXOnly-1U-Hotswap,242.68,-37.94,0,top
MX10,MX_SW_HS,MXOnly-1U-Hotswap,271.255,-37.95,0,top
MX11,MX_SW_HS,MXOnly-1U-Hotswap,290.285,-37.94,0,top
MX12,MX_SW_HS,MXOnly-1U-Hotswap,309.335,-37.94,0,top
MX13,MX_SW_HS,MXOnly-1U-Hotswap,328.41,-37.94,0,top
MX14,MX_SW_HS,MXOnly-1U-Hotswap,352.21,-37.94,0,top
MX15,MX_SW_HS,MXOnly-1U-Hotswap,371.26,-37.94,0,top
MX16,MX_SW_HS,MXOnly-1U-Hotswap,390.31,-37.94,0,top
MX17,MX_SW_HS,MXOnly-1U-Hotswap,37.883,-66.53,0,top
MX18,MX_SW_HS,MXOnly-1U-Hotswap,61.708,-66.53,0,top
MX19,MX_SW_HS,MXOnly-1U-Hotswap,80.758,-66.53,0,top
MX20,MX_SW_HS,MXOnly-1U-Hotswap,99.808,-66.54,0,top
MX21,MX_SW_HS,MXOnly-1U-Hotswap,118.858,-66.505,0,top
MX22,MX_SW_HS,MXOnly-1U-Hotswap,137.908,-66.505,0,top
MX23,MX_SW_HS,MXOnly-1U-Hotswap,156.96,-66.53,0,top
MX24,MX_SW_HS,MXOnly-1U-Hotswap,176.008,-66.53,0,top
MX25,MX_SW_HS,MXOnly-1U-Hotswap,195.058,-66.53,0,top
